gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
ACSL4	TRUE	TRUE	retained
ACSL5	TRUE	TRUE	retained
ACSM3	TRUE	TRUE	retained
ACSM5	TRUE	TRUE	retained
ACSM6	TRUE	TRUE	retained
ACSS1	TRUE	TRUE	retained
ACSS2	TRUE	TRUE	retained
ACSS3	TRUE	TRUE	retained
ACTA1	TRUE	TRUE	retained
ACTA2	TRUE	TRUE	retained
ACTA2-AS1	TRUE	TRUE	retained
ACTB	TRUE	TRUE	retained
ACTBP1	TRUE	TRUE	retained
ACTBP11	TRUE	TRUE	retained
ACTBP12	TRUE	TRUE	retained
ACTBP15	TRUE	TRUE	retained
ACTBP2	TRUE	TRUE	retained
ACTBP4	TRUE	TRUE	retained
ACTBP7	TRUE	TRUE	retained
ACTBP8	TRUE	TRUE	retained
ACTBP9	TRUE	TRUE	retained
ACTC1	TRUE	TRUE	retained
ACTG1	TRUE	TRUE	retained
ACTG1P1	TRUE	TRUE	retained
ACTG1P10	TRUE	TRUE	retained
ACTG1P11	TRUE	TRUE	retained
ACTG1P12	TRUE	TRUE	retained
ACTG1P14	TRUE	TRUE	retained
ACTG1P19	TRUE	TRUE	retained
ACTG1P2	TRUE	TRUE	retained
ACTG1P20	TRUE	TRUE	retained
ACTG1P23	TRUE	TRUE	retained
ACTG1P3	TRUE	TRUE	retained
ACTG1P9	TRUE	TRUE	retained
ACTG2	TRUE	TRUE	retained
ACTL10	TRUE	TRUE	retained
ACTL6A	TRUE	TRUE	retained
ACTN1	TRUE	TRUE	retained
ACTN2	TRUE	TRUE	retained
ACTN3	TRUE	TRUE	retained
ACTN4	TRUE	TRUE	retained
ACTN4P1	TRUE	TRUE	retained
ACTR10	TRUE	TRUE	retained
ACTR1A	TRUE	TRUE	retained
ACTR1AP1	TRUE	TRUE	retained
ACTR1B	TRUE	TRUE	retained
ACTR2	TRUE	TRUE	retained
ACTR3	TRUE	TRUE	retained
ACTR3B	TRUE	TRUE	retained
ACTR3C	TRUE	TRUE	retained
ACTR3P2	TRUE	TRUE	retained
ACTR5	TRUE	TRUE	retained
ACTR6	TRUE	TRUE	retained
ACTR8	TRUE	TRUE	retained
ACVR1	TRUE	TRUE	retained
ACVR1B	TRUE	TRUE	retained
ACVR2A	TRUE	TRUE	retained
ACVR2B	TRUE	TRUE	retained
ACVRL1	TRUE	TRUE	retained
ACY1	TRUE	TRUE	retained
ACYP1	TRUE	TRUE	retained
ACYP2	TRUE	TRUE	retained
ADA	TRUE	TRUE	retained
ADA2	TRUE	TRUE	retained
ADAL	TRUE	TRUE	retained
ADAM10	TRUE	TRUE	retained
ADAM11	TRUE	TRUE	retained
ADAM12	TRUE	TRUE	retained
ADAM15	TRUE	TRUE	retained
ADAM17	TRUE	TRUE	retained
ADAM19	TRUE	TRUE	retained
ADAM20	TRUE	TRUE	retained
ADAM20P1	TRUE	TRUE	retained
ADAM21	TRUE	TRUE	retained
ADAM22	TRUE	TRUE	retained
ADAM23	TRUE	TRUE	retained
ADAM28	TRUE	TRUE	retained
ADAM32	TRUE	TRUE	retained
ADAM33	TRUE	TRUE	retained
ADAM8	TRUE	TRUE	retained
ADAM9	TRUE	TRUE	retained
ADAMTS1	TRUE	TRUE	retained
ADAMTS10	TRUE	TRUE	retained
ADAMTS12	TRUE	TRUE	retained
ADAMTS13	TRUE	TRUE	retained
ADAMTS14	TRUE	TRUE	retained
ADAMTS15	TRUE	TRUE	retained
ADAMTS16	TRUE	TRUE	retained
ADAMTS17	TRUE	TRUE	retained
ADAMTS18	TRUE	TRUE	retained
ADAMTS19	TRUE	TRUE	retained
ADAMTS2	TRUE	TRUE	retained
ADAMTS20	TRUE	TRUE	retained
ADAMTS3	TRUE	TRUE	retained
ADAMTS4	TRUE	TRUE	retained
ADAMTS5	TRUE	TRUE	retained
ADAMTS6	TRUE	TRUE	retained
ADAMTS7	TRUE	TRUE	retained
ADAMTS7P1	TRUE	TRUE	retained
ADAMTS7P3	TRUE	TRUE	retained
ADAMTS7P4	TRUE	TRUE	retained
ADAMTS8	TRUE	TRUE	retained
ADAMTS9	TRUE	TRUE	retained
ADAMTSL1	TRUE	TRUE	retained
ADAMTSL2	TRUE	TRUE	retained
ADAMTSL3	TRUE	TRUE	retained
ADAMTSL4	TRUE	TRUE	retained
ADAMTSL4-AS2	TRUE	TRUE	retained
ADAMTSL5	TRUE	TRUE	retained
ADAP2	TRUE	TRUE	retained
ADAR	TRUE	TRUE	retained
ADARB1	TRUE	TRUE	retained
ADAT1	TRUE	TRUE	retained
ADAT2	TRUE	TRUE	retained
ADAT3	TRUE	TRUE	retained
ADCK1	TRUE	TRUE	retained
ADCK2	TRUE	TRUE	retained
ADCK5	TRUE	TRUE	retained
ADCY1	TRUE	TRUE	retained
ADCY10	TRUE	TRUE	retained
ADCY2	TRUE	TRUE	retained
ADCY3	TRUE	TRUE	retained
ADCY4	TRUE	TRUE	retained
ADCY5	TRUE	TRUE	retained
ADCY6	TRUE	TRUE	retained
ADCY7	TRUE	TRUE	retained
ADCY9	TRUE	TRUE	retained
ADCYAP1R1	TRUE	TRUE	retained
ADD1	TRUE	TRUE	retained
ADD2	TRUE	TRUE	retained
ADD3	TRUE	TRUE	retained
ADGRA2	TRUE	TRUE	retained
ADGRA3	TRUE	TRUE	retained
ADGRB1	TRUE	TRUE	retained
ADGRB2	TRUE	TRUE	retained
ADGRB3	TRUE	TRUE	retained
ADGRD1	TRUE	TRUE	retained
ADGRE2	TRUE	TRUE	retained
ADGRE5	TRUE	TRUE	retained
ADGRF3	TRUE	TRUE	retained
ADGRF4	TRUE	TRUE	retained
ADGRF5	TRUE	TRUE	retained
ADGRG1	TRUE	TRUE	retained
