gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
FAM234A	TRUE	TRUE	retained
FAM234B	TRUE	TRUE	retained
FAM241A	TRUE	TRUE	retained
FAM27C	TRUE	TRUE	retained
FAM27E3	TRUE	TRUE	retained
FAM32A	TRUE	TRUE	retained
FAM32BP	TRUE	TRUE	retained
FAM3A	TRUE	TRUE	retained
FAM3B	TRUE	TRUE	retained
FAM3C	TRUE	TRUE	retained
FAM3C2P	TRUE	TRUE	retained
FAM43A	TRUE	TRUE	retained
FAM50A	TRUE	TRUE	retained
FAM50B	TRUE	TRUE	retained
FAM53B	TRUE	TRUE	retained
FAM53C	TRUE	TRUE	retained
FAM71E1	TRUE	TRUE	retained
FAM71F2	TRUE	TRUE	retained
FAM72A	TRUE	TRUE	retained
FAM72B	TRUE	TRUE	retained
FAM72C	TRUE	TRUE	retained
FAM72D	TRUE	TRUE	retained
FAM76A	TRUE	TRUE	retained
FAM76B	TRUE	TRUE	retained
FAM78A	TRUE	TRUE	retained
FAM83B	TRUE	TRUE	retained
FAM83D	TRUE	TRUE	retained
FAM83G	TRUE	TRUE	retained
FAM83H	TRUE	TRUE	retained
FAM86B1	TRUE	TRUE	retained
FAM86B2	TRUE	TRUE	retained
FAM86B3P	TRUE	TRUE	retained
FAM86C1P	TRUE	TRUE	retained
FAM86C2P	TRUE	TRUE	retained
FAM86DP	TRUE	TRUE	retained
FAM86EP	TRUE	TRUE	retained
FAM86FP	TRUE	TRUE	retained
FAM86HP	TRUE	TRUE	retained
FAM89A	TRUE	TRUE	retained
FAM8A1	TRUE	TRUE	retained
FAM90A1	TRUE	TRUE	retained
FAM91A1	TRUE	TRUE	retained
FAM91A3P	TRUE	TRUE	retained
FAM96AP2	TRUE	TRUE	retained
FAM98A	TRUE	TRUE	retained
FAM98B	TRUE	TRUE	retained
FAM98C	TRUE	TRUE	retained
FAN1	TRUE	TRUE	retained
FANCA	TRUE	TRUE	retained
FANCB	TRUE	TRUE	retained
FANCC	TRUE	TRUE	retained
FANCD2	TRUE	TRUE	retained
FANCE	TRUE	TRUE	retained
FANCF	TRUE	TRUE	retained
FANCG	TRUE	TRUE	retained
FANCI	TRUE	TRUE	retained
FANCL	TRUE	TRUE	retained
FANCM	TRUE	TRUE	retained
FANK1	TRUE	TRUE	retained
FAP	TRUE	TRUE	retained
FAR1	TRUE	TRUE	retained
FAR1P1	TRUE	TRUE	retained
FAR2	TRUE	TRUE	retained
FARP1	TRUE	TRUE	retained
FARP2	TRUE	TRUE	retained
FARS2	TRUE	TRUE	retained
FARSA	TRUE	TRUE	retained
FARSB	TRUE	TRUE	retained
FAS	TRUE	TRUE	retained
FASN	TRUE	TRUE	retained
FASTK	TRUE	TRUE	retained
FASTKD1	TRUE	TRUE	retained
FASTKD2	TRUE	TRUE	retained
FASTKD3	TRUE	TRUE	retained
FASTKD5	TRUE	TRUE	retained
FAT1	TRUE	TRUE	retained
FAT2	TRUE	TRUE	retained
FAT3	TRUE	TRUE	retained
FAT4	TRUE	TRUE	retained
FAU	TRUE	TRUE	retained
FAUP1	TRUE	TRUE	retained
FAXC	TRUE	TRUE	retained
FAXDC2	TRUE	TRUE	retained
FBF1	TRUE	TRUE	retained
FBH1	TRUE	TRUE	retained
FBL	TRUE	TRUE	retained
FBLIM1	TRUE	TRUE	retained
FBLIM1P1	TRUE	TRUE	retained
FBLIM1P2	TRUE	TRUE	retained
FBLN1	TRUE	TRUE	retained
FBLN2	TRUE	TRUE	retained
FBLN5	TRUE	TRUE	retained
FBLN7	TRUE	TRUE	retained
FBN1	TRUE	TRUE	retained
FBN2	TRUE	TRUE	retained
FBN3	TRUE	TRUE	retained
FBP1	TRUE	TRUE	retained
FBRS	TRUE	TRUE	retained
FBRSL1	TRUE	TRUE	retained
FBXL12	TRUE	TRUE	retained
FBXL13	TRUE	TRUE	retained
FBXL14	TRUE	TRUE	retained
FBXL15	TRUE	TRUE	retained
FBXL17	TRUE	TRUE	retained
FBXL18	TRUE	TRUE	retained
FBXL19	TRUE	TRUE	retained
FBXL19-AS1	TRUE	TRUE	retained
FBXL2	TRUE	TRUE	retained
FBXL20	TRUE	TRUE	retained
FBXL3	TRUE	TRUE	retained
FBXL4	TRUE	TRUE	retained
FBXL5	TRUE	TRUE	retained
FBXL6	TRUE	TRUE	retained
FBXL7	TRUE	TRUE	retained
FBXL8	TRUE	TRUE	retained
FBXO11	TRUE	TRUE	retained
FBXO16	TRUE	TRUE	retained
FBXO17	TRUE	TRUE	retained
FBXO21	TRUE	TRUE	retained
FBXO22	TRUE	TRUE	retained
FBXO24	TRUE	TRUE	retained
FBXO25	TRUE	TRUE	retained
FBXO27	TRUE	TRUE	retained
FBXO28	TRUE	TRUE	retained
FBXO3	TRUE	TRUE	retained
FBXO30	TRUE	TRUE	retained
FBXO31	TRUE	TRUE	retained
FBXO32	TRUE	TRUE	retained
FBXO33	TRUE	TRUE	retained
FBXO34	TRUE	TRUE	retained
FBXO36	TRUE	TRUE	retained
FBXO38	TRUE	TRUE	retained
FBXO4	TRUE	TRUE	retained
FBXO41	TRUE	TRUE	retained
FBXO42	TRUE	TRUE	retained
FBXO44	TRUE	TRUE	retained
FBXO45	TRUE	TRUE	retained
FBXO46	TRUE	TRUE	retained
FBXO5	TRUE	TRUE	retained
FBXO6	TRUE	TRUE	retained
FBXO7	TRUE	TRUE	retained
FBXO8	TRUE	TRUE	retained
FBXO9	TRUE	TRUE	retained
FBXW10	TRUE	TRUE	retained
FBXW11	TRUE	TRUE	retained
FBXW11P1	TRUE	TRUE	retained
FBXW2	TRUE	TRUE	retained
FBXW4	TRUE	TRUE	retained
FBXW4P1	TRUE	TRUE	retained
FBXW5	TRUE	TRUE	retained
FBXW7	TRUE	TRUE	retained
FBXW8	TRUE	TRUE	retained
FBXW9	TRUE	TRUE	retained
FCER1G	TRUE	TRUE	retained
FCF1	TRUE	TRUE	retained
FCF1P6	TRUE	TRUE	retained
FCF1P7	TRUE	TRUE	retained
FCF1P8	TRUE	TRUE	retained
FCGBP	TRUE	TRUE	retained
FCGR1A	TRUE	TRUE	retained
FCGR1B	TRUE	TRUE	retained
FCGR1CP	TRUE	TRUE	retained
FCGR2A	TRUE	TRUE	retained
FCGR2B	TRUE	TRUE	retained
FCGR2C	TRUE	TRUE	retained
FCGR3A	TRUE	TRUE	retained
FCGR3B	TRUE	TRUE	retained
FCGRT	TRUE	TRUE	retained
FCHO1	TRUE	TRUE	retained
FCHO2	TRUE	TRUE	retained
FCHSD1	TRUE	TRUE	retained
FCHSD2	TRUE	TRUE	retained
FCN1	TRUE	TRUE	retained
FCN3	TRUE	TRUE	retained
FCRL5	TRUE	TRUE	retained
FCSK	TRUE	TRUE	retained
FDFT1	TRUE	TRUE	retained
FDPS	TRUE	TRUE	retained
FDPSP1	TRUE	TRUE	retained
FDPSP2	TRUE	TRUE	retained
FDPSP4	TRUE	TRUE	retained
FDPSP5	TRUE	TRUE	retained
FDPSP7	TRUE	TRUE	retained
FDPSP8	TRUE	TRUE	retained
FDX1	TRUE	TRUE	retained
FDX1P1	TRUE	TRUE	retained
FDXR	TRUE	TRUE	retained
FECH	TRUE	TRUE	retained
FEM1B	TRUE	TRUE	retained
FEM1C	TRUE	TRUE	retained
FEN1	TRUE	TRUE	retained
FER	TRUE	TRUE	retained
FER1L4	TRUE	TRUE	retained
FER1L5	TRUE	TRUE	retained
FERMT1	TRUE	TRUE	retained
FERMT2	TRUE	TRUE	retained
FERMT3	TRUE	TRUE	retained
FES	TRUE	TRUE	retained
FEZ1	TRUE	TRUE	retained
FEZ2	TRUE	TRUE	retained
FGA	TRUE	TRUE	retained
FGB	TRUE	TRUE	retained
FGD1	TRUE	TRUE	retained
FGD2	TRUE	TRUE	retained
FGD3	TRUE	TRUE	retained
FGD4	TRUE	TRUE	retained
FGD5	TRUE	TRUE	retained
FGD5-AS1	TRUE	TRUE	retained
FGD6	TRUE	TRUE	retained
FGF13	TRUE	TRUE	retained
FGF2	TRUE	TRUE	retained
FGF7	TRUE	TRUE	retained
FGFR1	TRUE	TRUE	retained
FGFR1OP2	TRUE	TRUE	retained
FGFR2	TRUE	TRUE	retained
FGFR3	TRUE	TRUE	retained
FGFR4	TRUE	TRUE	retained
FGFRL1	TRUE	TRUE	retained
FGG	TRUE	TRUE	retained
FGGY	TRUE	TRUE	retained
FGL1	TRUE	TRUE	retained
FGL2	TRUE	TRUE	retained
FGR	TRUE	TRUE	retained
FH	TRUE	TRUE	retained
FHAD1	TRUE	TRUE	retained
FHDC1	TRUE	TRUE	retained
FHIT	TRUE	TRUE	retained
FHL1	TRUE	TRUE	retained
FHL2	TRUE	TRUE	retained
FHL3	TRUE	TRUE	retained
FHOD1	TRUE	TRUE	retained
FHOD3	TRUE	TRUE	retained
FHP1	TRUE	TRUE	retained
FIBCD1	TRUE	TRUE	retained
FIBIN	TRUE	TRUE	retained
FIBP	TRUE	TRUE	retained
FICD	TRUE	TRUE	retained
FIG4	TRUE	TRUE	retained
FIGN	TRUE	TRUE	retained
FIGNL1	TRUE	TRUE	retained
FIGNL2	TRUE	TRUE	retained
FILIP1	TRUE	TRUE	retained
FILIP1L	TRUE	TRUE	retained
FIP1L1	TRUE	TRUE	retained
FIS1	TRUE	TRUE	retained
FITM2	TRUE	TRUE	retained
FIZ1	TRUE	TRUE	retained
FJX1	TRUE	TRUE	retained
FKBP10	TRUE	TRUE	retained
FKBP11	TRUE	TRUE	retained
FKBP14	TRUE	TRUE	retained
FKBP15	TRUE	TRUE	retained
FKBP1A	TRUE	TRUE	retained
FKBP1AP1	TRUE	TRUE	retained
FKBP1C	TRUE	TRUE	retained
FKBP3	TRUE	TRUE	retained
FKBP4	TRUE	TRUE	retained
FKBP4P1	TRUE	TRUE	retained
FKBP4P2	TRUE	TRUE	retained
FKBP4P6	TRUE	TRUE	retained
FKBP4P7	TRUE	TRUE	retained
FKBP4P8	TRUE	TRUE	retained
FKBP5	TRUE	TRUE	retained
FKBP6	TRUE	TRUE	retained
FKBP7	TRUE	TRUE	retained
FKBP8	TRUE	TRUE	retained
FKBP9	TRUE	TRUE	retained
FKBP9P1	TRUE	TRUE	retained
FKBPL	TRUE	TRUE	retained
FKRP	TRUE	TRUE	retained
FKTN	TRUE	TRUE	retained
FLACC1	TRUE	TRUE	retained
FLAD1	TRUE	TRUE	retained
FLCN	TRUE	TRUE	retained
FLG	TRUE	TRUE	retained
FLI1	TRUE	TRUE	retained
FLII	TRUE	TRUE	retained
FLNA	TRUE	TRUE	retained
FLNB	TRUE	TRUE	retained
FLNC	TRUE	TRUE	retained
FLOT1	TRUE	TRUE	retained
FLOT2	TRUE	TRUE	retained
FLRT1	TRUE	TRUE	retained
FLRT2	TRUE	TRUE	retained
FLRT3	TRUE	TRUE	retained
FLT1	TRUE	TRUE	retained
FLT1P1	TRUE	TRUE	retained
FLT4	TRUE	TRUE	retained
FLVCR1	TRUE	TRUE	retained
FLVCR2	TRUE	TRUE	retained
FLYWCH1	TRUE	TRUE	retained
FLYWCH1P1	TRUE	TRUE	retained
FLYWCH2	TRUE	TRUE	retained
FMN1	TRUE	TRUE	retained
FMN2	TRUE	TRUE	retained
FMNL1	TRUE	TRUE	retained
FMNL2	TRUE	TRUE	retained
FMNL3	TRUE	TRUE	retained
FMO1	TRUE	TRUE	retained
FMO4	TRUE	TRUE	retained
FMO5	TRUE	TRUE	retained
FMOD	TRUE	TRUE	retained
FMR1	TRUE	TRUE	retained
FN1	TRUE	TRUE	retained
FN3K	TRUE	TRUE	retained
FN3KRP	TRUE	TRUE	retained
FNBP1	TRUE	TRUE	retained
FNBP1L	TRUE	TRUE	retained
FNBP4	TRUE	TRUE	retained
FNDC1	TRUE	TRUE	retained
FNDC3A	TRUE	TRUE	retained
FNDC3B	TRUE	TRUE	retained
FNDC4	TRUE	TRUE	retained
FNDC5	TRUE	TRUE	retained
FNIP1	TRUE	TRUE	retained
FNIP2	TRUE	TRUE	retained
FNTA	TRUE	TRUE	retained
FNTAP1	TRUE	TRUE	retained
FNTAP2	TRUE	TRUE	retained
FNTB	TRUE	TRUE	retained
FOCAD	TRUE	TRUE	retained
FOLR1	TRUE	TRUE	retained
FOLR2	TRUE	TRUE	retained
FOS	TRUE	TRUE	retained
FOSB	TRUE	TRUE	retained
FOSL1P1	TRUE	TRUE	retained
FOSL2	TRUE	TRUE	retained
FOXC1	TRUE	TRUE	retained
FOXD4L4	TRUE	TRUE	retained
FOXF1	TRUE	TRUE	retained
FOXF2	TRUE	TRUE	retained
FOXG1	TRUE	TRUE	retained
FOXI3	TRUE	TRUE	retained
FOXJ2	TRUE	TRUE	retained
FOXJ3	TRUE	TRUE	retained
FOXK1	TRUE	TRUE	retained
FOXK2	TRUE	TRUE	retained
FOXM1	TRUE	TRUE	retained
FOXN2	TRUE	TRUE	retained
FOXN3	TRUE	TRUE	retained
FOXN3P1	TRUE	TRUE	retained
FOXO1	TRUE	TRUE	retained
FOXO3	TRUE	TRUE	retained
FOXO3B	TRUE	TRUE	retained
FOXO4	TRUE	TRUE	retained
FOXO6	TRUE	TRUE	retained
FOXP1	TRUE	TRUE	retained
FOXP2	TRUE	TRUE	retained
FOXP3	TRUE	TRUE	retained
FOXP4	TRUE	TRUE	retained
FOXRED1	TRUE	TRUE	retained
FOXRED2	TRUE	TRUE	retained
FOXS1	TRUE	TRUE	retained
FPGS	TRUE	TRUE	retained
FPGT	TRUE	TRUE	retained
FPR1	TRUE	TRUE	retained
FPR2	TRUE	TRUE	retained
FRA10AC1	TRUE	TRUE	retained
FRAS1	TRUE	TRUE	retained
FRAT1	TRUE	TRUE	retained
FRAT2	TRUE	TRUE	retained
FREM1	TRUE	TRUE	retained
FREM2	TRUE	TRUE	retained
FRG1	TRUE	TRUE	retained
FRG1BP	TRUE	TRUE	retained
FRG1CP	TRUE	TRUE	retained
FRG1DP	TRUE	TRUE	retained
FRG1GP	TRUE	TRUE	retained
FRG1HP	TRUE	TRUE	retained
FRG1JP	TRUE	TRUE	retained
FRK	TRUE	TRUE	retained
FRMD3	TRUE	TRUE	retained
FRMD4A	TRUE	TRUE	retained
FRMD4B	TRUE	TRUE	retained
FRMD5	TRUE	TRUE	retained
FRMD6	TRUE	TRUE	retained
FRMD8	TRUE	TRUE	retained
FRMD8P1	TRUE	TRUE	retained
FRMPD1	TRUE	TRUE	retained
FRMPD2	TRUE	TRUE	retained
FRRS1	TRUE	TRUE	retained
FRS2	TRUE	TRUE	retained
FRS3	TRUE	TRUE	retained
FRY	TRUE	TRUE	retained
FRYL	TRUE	TRUE	retained
FRZB	TRUE	TRUE	retained
FSCB	TRUE	TRUE	retained
FSCN1	TRUE	TRUE	retained
FSCN1P1	TRUE	TRUE	retained
FSCN2	TRUE	TRUE	retained
FSD1	TRUE	TRUE	retained
FSD1L	TRUE	TRUE	retained
FSIP1	TRUE	TRUE	retained
FSIP2	TRUE	TRUE	retained
FST	TRUE	TRUE	retained
FSTL1	TRUE	TRUE	retained
FSTL3	TRUE	TRUE	retained
FSTL4	TRUE	TRUE	retained
FTCD	TRUE	TRUE	retained
FTH1	TRUE	TRUE	retained
FTH1P10	TRUE	TRUE	retained
FTH1P11	TRUE	TRUE	retained
FTH1P12	TRUE	TRUE	retained
FTH1P16	TRUE	TRUE	retained
FTH1P2	TRUE	TRUE	retained
FTH1P20	TRUE	TRUE	retained
FTH1P23	TRUE	TRUE	retained
FTH1P3	TRUE	TRUE	retained
FTH1P4	TRUE	TRUE	retained
FTH1P5	TRUE	TRUE	retained
FTH1P7	TRUE	TRUE	retained
FTH1P8	TRUE	TRUE	retained
FTL	TRUE	TRUE	retained
FTLP2	TRUE	TRUE	retained
FTLP3	TRUE	TRUE	retained
FTO	TRUE	TRUE	retained
FTSJ1	TRUE	TRUE	retained
FTSJ3	TRUE	TRUE	retained
FTX	TRUE	TRUE	retained
FUBP1	TRUE	TRUE	retained
FUBP3	TRUE	TRUE	retained
FUCA1	TRUE	TRUE	retained
FUCA2	TRUE	TRUE	retained
FUNDC1	TRUE	TRUE	retained
FUNDC2	TRUE	TRUE	retained
FUNDC2P1	TRUE	TRUE	retained
FUNDC2P2	TRUE	TRUE	retained
FUOM	TRUE	TRUE	retained
FURIN	TRUE	TRUE	retained
FUS	TRUE	TRUE	retained
FUT1	TRUE	TRUE	retained
FUT10	TRUE	TRUE	retained
FUT11	TRUE	TRUE	retained
FUT2	TRUE	TRUE	retained
FUT4	TRUE	TRUE	retained
FUT8	TRUE	TRUE	retained
FUZ	TRUE	TRUE	retained
FXN	TRUE	TRUE	retained
FXR1	TRUE	TRUE	retained
FXR2	TRUE	TRUE	retained
FXYD2	TRUE	TRUE	retained
FXYD3	TRUE	TRUE	retained
FXYD5	TRUE	TRUE	retained
FXYD6	TRUE	TRUE	retained
FYB1	TRUE	TRUE	retained
FYB2	TRUE	TRUE	retained
FYCO1	TRUE	TRUE	retained
FYN	TRUE	TRUE	retained
FYTTD1	TRUE	TRUE	retained
FZD1	TRUE	TRUE	retained
FZD2	TRUE	TRUE	retained
FZD3	TRUE	TRUE	retained
FZD4	TRUE	TRUE	retained
FZD5	TRUE	TRUE	retained
FZD6	TRUE	TRUE	retained
FZD7	TRUE	TRUE	retained
FZD8	TRUE	TRUE	retained
FZR1	TRUE	TRUE	retained
G0S2	TRUE	TRUE	retained
G2E3	TRUE	TRUE	retained
G3BP1	TRUE	TRUE	retained
G3BP1P1	TRUE	TRUE	retained
G3BP2	TRUE	TRUE	retained
G6PC3	TRUE	TRUE	retained
G6PD	TRUE	TRUE	retained
GAA	TRUE	TRUE	retained
GAB1	TRUE	TRUE	retained
GAB2	TRUE	TRUE	retained
GAB3	TRUE	TRUE	retained
GABARAP	TRUE	TRUE	retained
GABARAPL1	TRUE	TRUE	retained
GABARAPL2	TRUE	TRUE	retained
GABBR1	TRUE	TRUE	retained
GABBR2	TRUE	TRUE	retained
GABPA	TRUE	TRUE	retained
GABPAP	TRUE	TRUE	retained
GABPB1	TRUE	TRUE	retained
GABPB1-IT1	TRUE	TRUE	retained
GABPB2	TRUE	TRUE	retained
GABRA3	TRUE	TRUE	retained
GABRE	TRUE	TRUE	retained
GABRP	TRUE	TRUE	retained
GABRR2	TRUE	TRUE	retained
GAD1	TRUE	TRUE	retained
GADD45A	TRUE	TRUE	retained
GADD45B	TRUE	TRUE	retained
GADD45G	TRUE	TRUE	retained
GADD45GIP1	TRUE	TRUE	retained
GAK	TRUE	TRUE	retained
GAL3ST4	TRUE	TRUE	retained
GALC	TRUE	TRUE	retained
GALE	TRUE	TRUE	retained
GALK1	TRUE	TRUE	retained
GALK2	TRUE	TRUE	retained
GALM	TRUE	TRUE	retained
GALNS	TRUE	TRUE	retained
GALNT1	TRUE	TRUE	retained
GALNT10	TRUE	TRUE	retained
GALNT11	TRUE	TRUE	retained
GALNT12	TRUE	TRUE	retained
GALNT15	TRUE	TRUE	retained
GALNT16	TRUE	TRUE	retained
GALNT18	TRUE	TRUE	retained
GALNT2	TRUE	TRUE	retained
GALNT3	TRUE	TRUE	retained
GALNT6	TRUE	TRUE	retained
GALNT7	TRUE	TRUE	retained
GALNT9	TRUE	TRUE	retained
GALT	TRUE	TRUE	retained
GAMT	TRUE	TRUE	retained
GAN	TRUE	TRUE	retained
GANAB	TRUE	TRUE	retained
GANC	TRUE	TRUE	retained
GAP43	TRUE	TRUE	retained
GAPDH	TRUE	TRUE	retained
GAPDHP1	TRUE	TRUE	retained
GAPDHP35	TRUE	TRUE	retained
GAPDHP38	TRUE	TRUE	retained
GAPDHP40	TRUE	TRUE	retained
GAPDHP44	TRUE	TRUE	retained
GAPDHP60	TRUE	TRUE	retained
GAPDHP61	TRUE	TRUE	retained
GAPDHP63	TRUE	TRUE	retained
GAPDHP65	TRUE	TRUE	retained
GAPDHP68	TRUE	TRUE	retained
GAPDHP70	TRUE	TRUE	retained
GAPDHP71	TRUE	TRUE	retained
GAPDHP72	TRUE	TRUE	retained
GAPVD1	TRUE	TRUE	retained
GAR1	TRUE	TRUE	retained
GAREM1	TRUE	TRUE	retained
GAREM2	TRUE	TRUE	retained
GARNL3	TRUE	TRUE	retained
GARRE1	TRUE	TRUE	retained
GARS1	TRUE	TRUE	retained
GART	TRUE	TRUE	retained
GAS1	TRUE	TRUE	retained
GAS2L1	TRUE	TRUE	retained
GAS2L3	TRUE	TRUE	retained
GAS5	TRUE	TRUE	retained
GAS6	TRUE	TRUE	retained
GAS7	TRUE	TRUE	retained
GAS8	TRUE	TRUE	retained
GASK1A	TRUE	TRUE	retained
GASK1B	TRUE	TRUE	retained
GATA1	TRUE	TRUE	retained
GATA2	TRUE	TRUE	retained
GATA3	TRUE	TRUE	retained
GATA4	TRUE	TRUE	retained
GATA5	TRUE	TRUE	retained
GATA6	TRUE	TRUE	retained
GATAD1	TRUE	TRUE	retained
GATAD2A	TRUE	TRUE	retained
GATAD2B	TRUE	TRUE	retained
GATB	TRUE	TRUE	retained
GATC	TRUE	TRUE	retained
GATD1	TRUE	TRUE	retained
GATD3A	TRUE	TRUE	retained
GATD3B	TRUE	TRUE	retained
GATM	TRUE	TRUE	retained
GBA	TRUE	TRUE	retained
GBA2	TRUE	TRUE	retained
GBAP1	TRUE	TRUE	retained
GBE1	TRUE	TRUE	retained
GBF1	TRUE	TRUE	retained
GBGT1	TRUE	TRUE	retained
GBP1	TRUE	TRUE	retained
GBP1P1	TRUE	TRUE	retained
GBP2	TRUE	TRUE	retained
GBP3	TRUE	TRUE	retained
GBP4	TRUE	TRUE	retained
GBP5	TRUE	TRUE	retained
GCA	TRUE	TRUE	retained
GCAT	TRUE	TRUE	retained
GCATP1	TRUE	TRUE	retained
GCC1	TRUE	TRUE	retained
GCC2	TRUE	TRUE	retained
GCDH	TRUE	TRUE	retained
GCFC2	TRUE	TRUE	retained
GCH1	TRUE	TRUE	retained
GCHFR	TRUE	TRUE	retained
GCK	TRUE	TRUE	retained
GCLC	TRUE	TRUE	retained
GCLM	TRUE	TRUE	retained
GCM1	TRUE	TRUE	retained
GCN1	TRUE	TRUE	retained
GCNA	TRUE	TRUE	retained
GCNT1	TRUE	TRUE	retained
GCNT2	TRUE	TRUE	retained
GCNT4	TRUE	TRUE	retained
GCNT7	TRUE	TRUE	retained
GCOM2	TRUE	TRUE	retained
GCSH	TRUE	TRUE	retained
GCSHP5	TRUE	TRUE	retained
GDA	TRUE	TRUE	retained
GDAP1	TRUE	TRUE	retained
GDAP1L1	TRUE	TRUE	retained
GDAP2	TRUE	TRUE	retained
GDE1	TRUE	TRUE	retained
GDF11	TRUE	TRUE	retained
GDF15	TRUE	TRUE	retained
GDF6	TRUE	TRUE	retained
GDI1	TRUE	TRUE	retained
GDI2	TRUE	TRUE	retained
GDI2P1	TRUE	TRUE	retained
GDI2P2	TRUE	TRUE	retained
GDPD1	TRUE	TRUE	retained
GDPD2	TRUE	TRUE	retained
GDPD3	TRUE	TRUE	retained
GDPD4	TRUE	TRUE	retained
GDPD5	TRUE	TRUE	retained
GEM	TRUE	TRUE	retained
GEMIN2	TRUE	TRUE	retained
GEMIN2P2	TRUE	TRUE	retained
GEMIN4	TRUE	TRUE	retained
GEMIN5	TRUE	TRUE	retained
GEMIN6	TRUE	TRUE	retained
GEMIN8	TRUE	TRUE	retained
GEN1	TRUE	TRUE	retained
GET1	TRUE	TRUE	retained
GET3	TRUE	TRUE	retained
GET4	TRUE	TRUE	retained
GFER	TRUE	TRUE	retained
GFM1	TRUE	TRUE	retained
GFM2	TRUE	TRUE	retained
GFOD1	TRUE	TRUE	retained
GFOD2	TRUE	TRUE	retained
GFPT1	TRUE	TRUE	retained
GFPT2	TRUE	TRUE	retained
GFRA2	TRUE	TRUE	retained
GFUS	TRUE	TRUE	retained
GGA1	TRUE	TRUE	retained
GGA2	TRUE	TRUE	retained
GGA3	TRUE	TRUE	retained
GGCT	TRUE	TRUE	retained
GGCX	TRUE	TRUE	retained
GGH	TRUE	TRUE	retained
GGNBP2	TRUE	TRUE	retained
GGPS1	TRUE	TRUE	retained
GGT2	TRUE	TRUE	retained
GGT3P	TRUE	TRUE	retained
GGT5	TRUE	TRUE	retained
GGT7	TRUE	TRUE	retained
GGTA1	TRUE	TRUE	retained
GGTLC2	TRUE	TRUE	retained
GGTLC5P	TRUE	TRUE	retained
GH2	TRUE	TRUE	retained
GHDC	TRUE	TRUE	retained
GHITM	TRUE	TRUE	retained
GHR	TRUE	TRUE	retained
GHRL	TRUE	TRUE	retained
GID4	TRUE	TRUE	retained
GID8	TRUE	TRUE	retained
GIGYF1	TRUE	TRUE	retained
GIGYF2	TRUE	TRUE	retained
GIMAP1	TRUE	TRUE	retained
GIMAP2	TRUE	TRUE	retained
GIMAP4	TRUE	TRUE	retained
GIMAP6	TRUE	TRUE	retained
GIMAP7	TRUE	TRUE	retained
GIMAP8	TRUE	TRUE	retained
GIN1	TRUE	TRUE	retained
GINM1	TRUE	TRUE	retained
GINS1	TRUE	TRUE	retained
GINS2	TRUE	TRUE	retained
GINS3	TRUE	TRUE	retained
GINS4	TRUE	TRUE	retained
GIPC1	TRUE	TRUE	retained
GIPC2	TRUE	TRUE	retained
GIT1	TRUE	TRUE	retained
GIT2	TRUE	TRUE	retained
GJA1	TRUE	TRUE	retained
GJA1P1	TRUE	TRUE	retained
GJA3	TRUE	TRUE	retained
GJA4	TRUE	TRUE	retained
GJA5	TRUE	TRUE	retained
GJC1	TRUE	TRUE	retained
GJC2	TRUE	TRUE	retained
GK	TRUE	TRUE	retained
GK3P	TRUE	TRUE	retained
GK4P	TRUE	TRUE	retained
GK5	TRUE	TRUE	retained
GKAP1	TRUE	TRUE	retained
GLA	TRUE	TRUE	retained
GLB1	TRUE	TRUE	retained
GLB1L	TRUE	TRUE	retained
GLB1L2	TRUE	TRUE	retained
GLB1L3	TRUE	TRUE	retained
GLCCI1	TRUE	TRUE	retained
GLCE	TRUE	TRUE	retained
GLDC	TRUE	TRUE	retained
GLDCP1	TRUE	TRUE	retained
GLDN	TRUE	TRUE	retained
GLE1	TRUE	TRUE	retained
GLG1	TRUE	TRUE	retained
GLI1	TRUE	TRUE	retained
GLI2	TRUE	TRUE	retained
GLI3	TRUE	TRUE	retained
GLI4	TRUE	TRUE	retained
GLIPR1	TRUE	TRUE	retained
GLIPR2	TRUE	TRUE	retained
GLIS2	TRUE	TRUE	retained
GLIS3	TRUE	TRUE	retained
GLMN	TRUE	TRUE	retained
GLMP	TRUE	TRUE	retained
GLO1	TRUE	TRUE	retained
GLOD4	TRUE	TRUE	retained
GLP2R	TRUE	TRUE	retained
GLRX	TRUE	TRUE	retained
GLRX2	TRUE	TRUE	retained
GLRX3	TRUE	TRUE	retained
GLRX3P2	TRUE	TRUE	retained
GLRX5	TRUE	TRUE	retained
GLRXP3	TRUE	TRUE	retained
GLS	TRUE	TRUE	retained
GLT8D1	TRUE	TRUE	retained
GLT8D2	TRUE	TRUE	retained
GLTP	TRUE	TRUE	retained
GLUD1	TRUE	TRUE	retained
GLUD2	TRUE	TRUE	retained
GLUL	TRUE	TRUE	retained
GLULP3	TRUE	TRUE	retained
GLULP4	TRUE	TRUE	retained
GLYCTK	TRUE	TRUE	retained
GLYR1	TRUE	TRUE	retained
GM2A	TRUE	TRUE	retained
GM2AP1	TRUE	TRUE	retained
GMCL1	TRUE	TRUE	retained
GMCL2	TRUE	TRUE	retained
GMDS	TRUE	TRUE	retained
GMEB1	TRUE	TRUE	retained
GMEB2	TRUE	TRUE	retained
GMFB	TRUE	TRUE	retained
GMFBP1	TRUE	TRUE	retained
GMFG	TRUE	TRUE	retained
GMIP	TRUE	TRUE	retained
GMNN	TRUE	TRUE	retained
GMPPA	TRUE	TRUE	retained
GMPPB	TRUE	TRUE	retained
GMPR	TRUE	TRUE	retained
