analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05
PAPER_REPRODUCTION_GENOMEWIDE	GO:1900046	BP	regulation of hemostasis	16399	541	55	14	1.81443990487225	7.71587968408671	1.91938165348331e-09	13	1	F2; F7; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PRDX2; PROC; SERPINC1; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0010817	BP	regulation of hormone levels	16399	541	315	33	10.3917921824501	3.17558313528739	4.76791131474962e-09	17	16	ABCC8; ADH1A; ADH4; ADH6; AGT; AKR1C1; AKR1C2; AKR1C3; CACNA1H; CYP1B1; CYP26B1; FGA; FGB; FGG; FOXO1; HPN; LHB; LIF; MLXIPL; MTNR1B; MYB; MYRIP; NLGN2; NR1D1; PAX8; RAPGEF3; RBP4; RIMS2; SLC26A7; STAR; STX1A; TFR2; VAMP7	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0050818	BP	regulation of coagulation	16399	541	59	14	1.94639917068114	7.19276919702998	5.19259394466028e-09	13	1	F2; F7; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PRDX2; PROC; SERPINC1; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0006811	BP	monoatomic ion transport	16399	541	809	59	26.6887615098482	2.21066833611702	8.31390687507043e-09	14	45	ABCC8; AGT; ANO1; ANO7; ANO9; ATP10A; ATP1A2; ATP2B3; ATP2C2; CACNA1A; CACNA1C; CACNA1D; CACNA1E; CACNA1G; CACNA1H; CBARP; CHRNE; F2; FTL; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HOMER2; HPN; HPX; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KCNT1; NDUFC2; NIPAL4; PKD1L1; PKD1L2; PLCH2; PRKCE; SCNN1A; SLC15A1; SLC1A1; SLC22A20P; SLC26A7; SLC28A3; SLC38A3; SLC38A4; SLC38A5; SLC39A5; SLC4A1; SLC4A4; SLC4A8; SLC6A2; SLC6A6; SLC6A9; SLCO3A1; TF; TFR2	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0015670	BP	carbon dioxide transport	16399	541	7	6	0.230928715165559	25.9820438341695	8.53827876744163e-09	6	0	HBA1; HBA2; HBB; HBG1; HBG2; HBZ	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0048821	BP	erythrocyte development	16399	541	28	10	0.923714860662236	10.8258515975706	1.07990981264843e-08	10	0	EPB42; GATA1; HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ; SMIM1	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0061041	BP	regulation of wound healing	16399	541	108	18	3.56290017684005	5.0520640788663	1.43243079576622e-08	15	3	CLDN1; CLDN3; F2; F7; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PRDX2; PRKCE; PROC; SERPINC1; SERPINF2; VIL1; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0030001	BP	metal ion transport	16399	541	553	45	18.2433684980791	2.46664973109204	2.32224706584777e-08	12	33	ABCC8; AGT; ANO9; ATP1A2; ATP2B3; ATP2C2; CACNA1A; CACNA1C; CACNA1D; CACNA1E; CACNA1G; CACNA1H; CBARP; CHRNE; F2; FTL; HOMER2; HPN; HPX; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KCNT1; NIPAL4; PKD1L1; PKD1L2; PLCH2; PRKCE; SCNN1A; SLC1A1; SLC28A3; SLC38A3; SLC38A4; SLC38A5; SLC39A5; SLC4A4; SLC4A8; SLC6A2; SLC6A6; SLC6A9; TF; TFR2	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0061644	BP	protein localization to CENP-A containing chromatin	16399	541	17	8	0.560826879687786	14.264651516799	2.49166718402209e-08	8	0	H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0030195	BP	negative regulation of blood coagulation	16399	541	39	11	1.28660284163669	8.54964690269681	3.29886137539031e-08	10	1	F2; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PROC; SERPINF2; VTN	TRUE
