variable	male_n	male_median	male_iqr	female_n	female_median	female_iqr	test	p_value
gestational_age_dpc	12	80	2	22	79.5	5.5	Wilcoxon rank-sum	0.711915791614536
trig_as_reported_GEO_labels_log10	12	0.9196596275	0.4814370695	22	1.2070942845	0.3258416325	Wilcoxon rank-sum	0.0200935597146531
