gene	log2_fold_change_male_minus_female	nominal_p	log2_fold_change_male_minus_female_excluding_H19760	nominal_p_excluding_H19760
GATA1	1.41318012507379	0.000174278108332687	1.37312737625723	0.000354545682779327
APOM	1.63726378031525	0.000587572758944793	1.59351881050225	0.00105458401924525
CPS1	1.12033886243	0.00066217973329056	1.078877036474	0.00125346313498579
CFH	1.20216456557682	0.00548628606268072	1.20410509254678	0.00677382810035448
KRT5	-0.71943261023367	0.0239870774301773	-0.736280876371949	0.0244236547689463
