analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05	rank_by_nominal_p
PAPER_REPRODUCTION_GENOMEWIDE	GO:0006959	BP	humoral immune response	16399	541	133	14	4.38764558814562	3.19077731296819	0.000127768807888523	12	2	C1R; CFH; F2; FCN3; FGA; FGB; H2BC13; H2BC14; H2BC6; IGHG1; KNG1; PF4; PPBP; TF	TRUE	142
PAPER_REPRODUCTION_GENOMEWIDE	GO:0002376	BP	immune system process	16399	541	1764	81	58.1940362217208	1.39189520540194	0.00127845131438016	53	28	ADD2; ADGRB1; ADGRE2; AHSP; AMBP; APOA1; APOA2; ARG1; ASGR1; C17orf99; C1R; CACNA1C; CARD14; CFH; CLCF1; CLDN1; CLNK; EPB42; F2; F7; FCN3; FGA; FGB; FPR1; FPR2; FYB2; GATA1; GGT3P; H2BC13; H2BC14; H2BC6; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ; HLA-DRA; IFIT2; IGHG1; ITGAD; ITGB3; KLF1; KNG1; LGALS9C; LIF; MT1G; MYB; MYO1G; NLRC5; NR1D1; PF4; PIK3R6; PKHD1L1; PPBP; PRDX2; PRKCE; RAPGEF3; RASAL3; RBP4; SELL; SMIM1; SOX9; TBX1; TF; TLR8; TRAF3IP3; TRIM17; VAMP7; VTN; ZBTB16; ZBTB20	TRUE	250
PAPER_REPRODUCTION_GENOMEWIDE	GO:0006955	BP	immune response	16399	541	1236	48	40.7754131349473	1.17717997954166	0.133595629362147	28	20	ADGRB1; ADGRE2; AMBP; APOA1; APOA2; ARG1; ASGR1; C17orf99; C1R; CARD14; CFH; CLCF1; CLDN1; CLNK; F2; FCN3; FGA; FGB; FPR1; FPR2; FYB2; GATA1; H2BC13; H2BC14; H2BC6; HLA-DRA; IFIT2; IGHG1; ITGAD; KNG1; LIF; MYB; MYO1G; NLRC5; NR1D1; PF4; PIK3R6; PKHD1L1; PPBP; PRKCE; RAPGEF3; TF; TLR8; TRAF3IP3; TRIM17; VAMP7; VTN; ZBTB16	FALSE	1211
